index,from_node,to_node,x_pu,b_pu,s_max_pu
0,7,1,0.012860577,77.75701,155.5
1,7,10,0.001289703,775.37229,108.3
2,9,3,0.021829405,45.80977,130.7
3,6,3,0.023385117,42.76224,130.7
4,3,8,0.069526911,14.38292,161.4
5,8,5,0.027262189,36.68084,146.05
6,3,5,0.017902638,55.85769,146.05
7,5,1,0.012622852,79.2214,146.05
8,5,7,0.004744385,210.77547,130.7
9,7,2,0.030133479,33.18568,176.75
10,2,4,0.009216953,108.49573,137.6
11,4,11,0.009291161,107.62918,134.15
12,11,2,0.000659159,1517.08491,104.15
13,0,1,0.030133479,33.18568,176.75
